[32, 8, 2, 0.0642852783203125, 'SF:', 50, 'SB:', 0]
[32, 9, 0, 0.044434309005737305, 'SF:', 898, 'SB:', 848]
[32, 9, 1, 0.4876370429992676, 'SF:', 898, 'SB:', 848]
[32, 9, 2, 0.02159404754638672, 'SF:', 50, 'SB:', 0]
[31, 0, 0, 0.003543853759765625, 'SF:', 117, 'SB:', 66]
[31, 0, 1, 0.03738093376159668, 'SF:', 117, 'SB:', 66]
[31, 0, 2, 0.1260831356048584, 'SF:', 133, 'SB:', 82]
[31, 1, 0, 0.018096923828125, 'SF:', 491, 'SB:', 440]
[31, 1, 1, 0.2718679904937744, 'SF:', 491, 'SB:', 440]
[31, 1, 2, 0.06774711608886719, 'SF:', 85, 'SB:', 34]
[31, 2, 0, 1.1414458751678467, 'SF:', 29700, 'SB:', 29649]
[31, 2, 1, 14.786354780197144, 'SF:', 29700, 'SB:', 29649]
[31, 2, 2, 0.4433000087738037, 'SF:', 438, 'SB:', 387]
[31, 3, 0, 0.009293079376220703, 'SF:', 335, 'SB:', 284]
[31, 3, 1, 0.10329079627990723, 'SF:', 335, 'SB:', 284]
[31, 3, 2, 0.10412287712097168, 'SF:', 134, 'SB:', 83]
[31, 4, 0, 0.04545712471008301, 'SF:', 1085, 'SB:', 1034]
[31, 4, 1, 0.629939079284668, 'SF:', 1085, 'SB:', 1034]
[31, 4, 2, 0.1071619987487793, 'SF:', 123, 'SB:', 72]
[31, 5, 0, 0.26068806648254395, 'SF:', 7343, 'SB:', 7292]
[31, 5, 1, 3.8449552059173584, 'SF:', 7343, 'SB:', 7292]
[31, 5, 2, 0.1751549243927002, 'SF:', 177, 'SB:', 126]
[31, 6, 0, 0.06660723686218262, 'SF:', 2052, 'SB:', 2001]
[31, 6, 1, 0.8819968700408936, 'SF:', 2052, 'SB:', 2001]
[31, 6, 2, 0.4066431522369385, 'SF:', 412, 'SB:', 361]
[31, 7, 0, 0.01617717742919922, 'SF:', 455, 'SB:', 404]
[31, 7, 1, 0.23859310150146484, 'SF:', 455, 'SB:', 404]
[31, 7, 2, 0.026304960250854492, 'SF:', 55, 'SB:', 4]
[31, 8, 0, 0.008091926574707031, 'SF:', 239, 'SB:', 188]
[31, 8, 1, 0.11241507530212402, 'SF:', 239, 'SB:', 188]
[31, 8, 2, 0.3960001468658447, 'SF:', 367, 'SB:', 316]
[31, 9, 0, 0.04475116729736328, 'SF:', 1212, 'SB:', 1161]
[31, 9, 1, 0.6900160312652588, 'SF:', 1212, 'SB:', 1161]
[31, 9, 2, 0.06114363670349121, 'SF:', 89, 'SB:', 38]
[30, 0, 0, 0.11790895462036133, 'SF:', 3016, 'SB:', 2964]
[30, 0, 1, 1.6431710720062256, 'SF:', 3016, 'SB:', 2964]
[30, 0, 2, 0.22691798210144043, 'SF:', 227, 'SB:', 175]
[30, 1, 0, 0.0448000431060791, 'SF:', 1184, 'SB:', 1132]
[30, 1, 1, 0.6295549869537354, 'SF:', 1184, 'SB:', 1132]
[30, 1, 2, 0.25534701347351074, 'SF:', 264, 'SB:', 212]
[30, 2, 0, 0.683243989944458, 'SF:', 15652, 'SB:', 15600]
[30, 2, 1, 9.965549230575562, 'SF:', 15652, 'SB:', 15600]
[30, 2, 2, 0.10813593864440918, 'SF:', 127, 'SB:', 75]
[30, 3, 0, 0.17073464393615723, 'SF:', 5026, 'SB:', 4974]
[30, 3, 1, 2.469242811203003, 'SF:', 5026, 'SB:', 4974]
[30, 3, 2, 1.9142110347747803, 'SF:', 1740, 'SB:', 1688]
[30, 4, 0, 0.030005931854248047, 'SF:', 703, 'SB:', 651]
[30, 4, 1, 0.4388861656188965, 'SF:', 703, 'SB:', 651]
[30, 4, 2, 0.03336381912231445, 'SF:', 61, 'SB:', 9]
[30, 5, 0, 0.6905500888824463, 'SF:', 15261, 'SB:', 15209]
[30, 5, 1, 12.631680011749268, 'SF:', 15261, 'SB:', 15209]
[30, 5, 2, 0.03951406478881836, 'SF:', 62, 'SB:', 10]
[30, 6, 0, 0.05011105537414551, 'SF:', 1503, 'SB:', 1451]
[30, 6, 1, 0.7010390758514404, 'SF:', 1503, 'SB:', 1451]
[30, 6, 2, 0.8465912342071533, 'SF:', 811, 'SB:', 759]
[30, 7, 0, 0.011456966400146484, 'SF:', 331, 'SB:', 279]
[30, 7, 1, 0.14359307289123535, 'SF:', 331, 'SB:', 279]
[30, 7, 2, 0.02108621597290039, 'SF:', 52, 'SB:', 0]
[30, 8, 0, 0.003186941146850586, 'SF:', 120, 'SB:', 68]
[30, 8, 1, 0.04051828384399414, 'SF:', 120, 'SB:', 68]
[30, 8, 2, 0.09622502326965332, 'SF:', 112, 'SB:', 60]
[30, 9, 0, 0.0026221275329589844, 'SF:', 99, 'SB:', 47]
[30, 9, 1, 0.027686119079589844, 'SF:', 99, 'SB:', 47]
[30, 9, 2, 0.04935574531555176, 'SF:', 71, 'SB:', 19]
[29, 0, 0, 0.6297390460968018, 'SF:', 12592, 'SB:', 12539]
[29, 0, 1, 10.09852385520935, 'SF:', 12592, 'SB:', 12539]
[29, 0, 2, 0.022696971893310547, 'SF:', 53, 'SB:', 0]
[29, 1, 0, 0.022593975067138672, 'SF:', 610, 'SB:', 557]
