[(1, 31, 1), 0.2543668746948242, 'SF:', 491, 'SB:', 440]
[(1, 31, 2), 14.984334707260132, 'SF:', 29700, 'SB:', 29649]
[(1, 31, 3), 0.11240291595458984, 'SF:', 335, 'SB:', 284]
[(1, 31, 4), 0.6163122653961182, 'SF:', 1085, 'SB:', 1034]
[(1, 31, 5), 3.835886001586914, 'SF:', 7343, 'SB:', 7292]
[(1, 31, 6), 0.8720059394836426, 'SF:', 2052, 'SB:', 2001]
[(1, 31, 7), 0.23501014709472656, 'SF:', 455, 'SB:', 404]
[(1, 31, 8), 0.11348176002502441, 'SF:', 239, 'SB:', 188]
[(1, 31, 9), 0.6927390098571777, 'SF:', 1212, 'SB:', 1161]
[(2, 31, 0), 0.1143338680267334, 'SF:', 133, 'SB:', 82]
[(2, 31, 1), 0.05719709396362305, 'SF:', 85, 'SB:', 34]
[(2, 31, 2), 0.4594240188598633, 'SF:', 438, 'SB:', 387]
[(2, 31, 3), 0.10795879364013672, 'SF:', 134, 'SB:', 83]
[(2, 31, 4), 0.10468816757202148, 'SF:', 123, 'SB:', 72]
[(2, 31, 5), 0.17024898529052734, 'SF:', 177, 'SB:', 126]
[(2, 31, 6), 0.39795994758605957, 'SF:', 412, 'SB:', 361]
[(2, 31, 7), 0.024571895599365234, 'SF:', 55, 'SB:', 4]
[(2, 31, 8), 0.3796541690826416, 'SF:', 367, 'SB:', 316]
[(2, 31, 9), 0.06278085708618164, 'SF:', 89, 'SB:', 38]
