[21, 0, 0, 0.09006905555725098, 'SF:', 2289, 'SB:', 2228]
[21, 1, 0, 2.697962999343872, 'SF:', 76795, 'SB:', 76734]
[21, 2, 0, 0.14020395278930664, 'SF:', 3400, 'SB:', 3339]
[21, 3, 0, 0.7629520893096924, 'SF:', 23789, 'SB:', 23728]
[21, 4, 0, 0.31332921981811523, 'SF:', 7491, 'SB:', 7430]
[21, 5, 0, 0.31284093856811523, 'SF:', 9794, 'SB:', 9733]
[21, 6, 0, 0.08202123641967773, 'SF:', 2414, 'SB:', 2353]
[21, 7, 0, 0.30260300636291504, 'SF:', 7312, 'SB:', 7251]
[21, 8, 0, 3.8560218811035156, 'SF:', 93127, 'SB:', 93066]
[21, 9, 0, 105.46952772140503, 'SF:', 2301338, 'SB:', 2301277]
[20, 0, 0, 52.76446723937988, 'SF:', 1290170, 'SB:', 1290108]
[20, 1, 0, 4.526763916015625, 'SF:', 109395, 'SB:', 109333]
[20, 2, 0, 0.21553516387939453, 'SF:', 5831, 'SB:', 5769]
[20, 3, 0, 0.016705989837646484, 'SF:', 421, 'SB:', 359]
[20, 4, 0, 140.44902682304382, 'SF:', 4040150, 'SB:', 4040088]
[20, 5, 0, 0.00563502311706543, 'SF:', 181, 'SB:', 119]
[20, 6, 0, 0.03401803970336914, 'SF:', 954, 'SB:', 892]
[20, 7, 0, 0.21742701530456543, 'SF:', 6205, 'SB:', 6143]
[20, 8, 0, 0.03410816192626953, 'SF:', 954, 'SB:', 892]
[20, 9, 0, 0.30088114738464355, 'SF:', 7050, 'SB:', 6988]
[19, 0, 0, 105.22306299209595, 'SF:', 2361791, 'SB:', 2361728]
[19, 1, 0, 3.9272608757019043, 'SF:', 112124, 'SB:', 112061]
[19, 2, 0, 18.606159687042236, 'SF:', 438663, 'SB:', 438600]
[18, 0, 0, 911.8112208843231, 'SF:', 23756500, 'SB:', 23756436]
[18, 1, 0, 53.3657751083374, 'SF:', 1322209, 'SB:', 1322145]
[18, 2, 0, 60.880593061447144, 'SF:', 1493097, 'SB:', 1493033]
[18, 3, 0, 0.5009279251098633, 'SF:', 12541, 'SB:', 12477]
[18, 4, 0, 67.2834632396698, 'SF:', 1561275, 'SB:', 1561211]
[18, 5, 0, 74.87428689002991, 'SF:', 1749786, 'SB:', 1749722]
[18, 6, 0, 0.17207884788513184, 'SF:', 3906, 'SB:', 3842]
[18, 7, 0, 9.096879243850708, 'SF:', 224458, 'SB:', 224394]
[18, 8, 0, 35.28768014907837, 'SF:', 885745, 'SB:', 885681]
[18, 9, 0, 9.813981056213379, 'SF:', 242676, 'SB:', 242612]
[35, 0, 1, 0.020695209503173828, 'SF:', 83, 'SB:', 36]
[35, 1, 1, 0.025409936904907227, 'SF:', 97, 'SB:', 50]
[35, 2, 1, 0.027184009552001953, 'SF:', 104, 'SB:', 57]
[35, 3, 1, 0.01904916763305664, 'SF:', 82, 'SB:', 35]
[35, 4, 1, 0.021715879440307617, 'SF:', 86, 'SB:', 39]
[35, 5, 1, 0.04831433296203613, 'SF:', 137, 'SB:', 90]
[35, 6, 1, 0.04595589637756348, 'SF:', 134, 'SB:', 87]
[35, 7, 1, 0.01738119125366211, 'SF:', 82, 'SB:', 35]
[35, 8, 1, 0.01830291748046875, 'SF:', 83, 'SB:', 36]
[35, 9, 1, 0.026545047760009766, 'SF:', 101, 'SB:', 54]
[34, 0, 1, 0.02547621726989746, 'SF:', 90, 'SB:', 42]
[34, 1, 1, 0.021603107452392578, 'SF:', 88, 'SB:', 40]
[34, 2, 1, 0.06390619277954102, 'SF:', 172, 'SB:', 124]
[34, 3, 1, 0.027660846710205078, 'SF:', 106, 'SB:', 58]
[34, 4, 1, 0.018130064010620117, 'SF:', 82, 'SB:', 34]
[34, 5, 1, 0.0196688175201416, 'SF:', 88, 'SB:', 40]
[34, 6, 1, 0.019580841064453125, 'SF:', 85, 'SB:', 37]
[34, 7, 1, 0.019834041595458984, 'SF:', 83, 'SB:', 35]
[34, 8, 1, 0.018208026885986328, 'SF:', 82, 'SB:', 34]
[34, 9, 1, 0.01866602897644043, 'SF:', 82, 'SB:', 34]
[33, 0, 1, 0.02234482765197754, 'SF:', 87, 'SB:', 38]
[33, 1, 1, 0.03247880935668945, 'SF:', 110, 'SB:', 61]
[33, 2, 1, 0.023761987686157227, 'SF:', 90, 'SB:', 41]
[33, 3, 1, 0.0202789306640625, 'SF:', 83, 'SB:', 34]
[33, 4, 1, 0.01871323585510254, 'SF:', 82, 'SB:', 33]
[33, 5, 1, 0.021409034729003906, 'SF:', 82, 'SB:', 33]
[33, 6, 1, 0.023772001266479492, 'SF:', 95, 'SB:', 46]
[33, 7, 1, 0.020061016082763672, 'SF:', 84, 'SB:', 35]
[33, 8, 1, 0.02693486213684082, 'SF:', 105, 'SB:', 56]
[33, 9, 1, 0.10429215431213379, 'SF:', 237, 'SB:', 188]
[32, 0, 1, 0.02305006980895996, 'SF:', 82, 'SB:', 32]
[32, 1, 1, 0.0359189510345459, 'SF:', 112, 'SB:', 62]
[32, 2, 1, 0.04512786865234375, 'SF:', 142, 'SB:', 92]
[32, 3, 1, 0.03509020805358887, 'SF:', 115, 'SB:', 65]
[32, 4, 1, 0.09551215171813965, 'SF:', 213, 'SB:', 163]
[32, 5, 1, 0.06145906448364258, 'SF:', 152, 'SB:', 102]
[32, 6, 1, 0.031149864196777344, 'SF:', 107, 'SB:', 57]
[32, 7, 1, 0.05321335792541504, 'SF:', 141, 'SB:', 91]
[32, 8, 1, 0.07285904884338379, 'SF:', 182, 'SB:', 132]
[32, 9, 1, 0.0663149356842041, 'SF:', 173, 'SB:', 123]
[31, 0, 1, 0.023422956466674805, 'SF:', 86, 'SB:', 35]
[31, 1, 1, 0.05485796928405762, 'SF:', 143, 'SB:', 92]
