[(3, 17, 6), 16.023983001708984, 'SF:', 7541, 'SB:', 7476]
[(3, 17, 7), 6.933355808258057, 'SF:', 3200, 'SB:', 3135]
[(3, 17, 8), 23.742197036743164, 'SF:', 11066, 'SB:', 11001]
[(3, 17, 9), 2.3880350589752197, 'SF:', 1143, 'SB:', 1078]
[(0, 35, 0), 0.07482504844665527, 'SF:', 123, 'SB:', 76]
[(0, 35, 1), 0.04460477828979492, 'SF:', 113, 'SB:', 66]
[(0, 35, 2), 0.11296319961547852, 'SF:', 220, 'SB:', 173]
[(0, 35, 3), 0.08526778221130371, 'SF:', 134, 'SB:', 87]
[(0, 35, 4), 0.06296706199645996, 'SF:', 133, 'SB:', 86]
[(0, 35, 5), 0.1902449131011963, 'SF:', 294, 'SB:', 247]
[(0, 35, 6), 0.13150382041931152, 'SF:', 215, 'SB:', 168]
[(0, 35, 7), 0.043118953704833984, 'SF:', 109, 'SB:', 62]
[(0, 35, 8), 0.14362192153930664, 'SF:', 184, 'SB:', 137]
[(0, 35, 9), 0.0586390495300293, 'SF:', 126, 'SB:', 79]
[(0, 34, 0), 0.21638917922973633, 'SF:', 270, 'SB:', 222]
[(0, 34, 1), 0.19252681732177734, 'SF:', 265, 'SB:', 217]
[(0, 34, 2), 0.25766706466674805, 'SF:', 402, 'SB:', 354]
[(0, 34, 3), 0.06361174583435059, 'SF:', 135, 'SB:', 87]
[(0, 34, 4), 0.03265380859375, 'SF:', 88, 'SB:', 40]
[(0, 34, 5), 0.04827594757080078, 'SF:', 117, 'SB:', 69]
[(0, 34, 6), 0.045006752014160156, 'SF:', 112, 'SB:', 64]
[(0, 34, 7), 0.05417990684509277, 'SF:', 113, 'SB:', 65]
[(0, 34, 8), 0.03696393966674805, 'SF:', 94, 'SB:', 46]
[(0, 34, 9), 0.06497502326965332, 'SF:', 141, 'SB:', 93]
[(0, 33, 0), 0.06036686897277832, 'SF:', 132, 'SB:', 83]
[(0, 33, 1), 0.13521528244018555, 'SF:', 211, 'SB:', 162]
[(0, 33, 2), 0.10858416557312012, 'SF:', 217, 'SB:', 168]
[(0, 33, 3), 0.05911087989807129, 'SF:', 112, 'SB:', 63]
[(0, 33, 4), 0.12216711044311523, 'SF:', 227, 'SB:', 178]
[(0, 33, 5), 0.04558610916137695, 'SF:', 100, 'SB:', 51]
[(0, 33, 6), 0.12544608116149902, 'SF:', 226, 'SB:', 177]
[(0, 33, 7), 0.044490814208984375, 'SF:', 101, 'SB:', 52]
[(0, 33, 8), 0.141387939453125, 'SF:', 231, 'SB:', 182]
[(0, 33, 9), 0.27134108543395996, 'SF:', 361, 'SB:', 312]
[(0, 32, 0), 0.05640864372253418, 'SF:', 121, 'SB:', 71]
[(0, 32, 1), 0.24704480171203613, 'SF:', 348, 'SB:', 298]
[(0, 32, 2), 0.1495978832244873, 'SF:', 272, 'SB:', 222]
[(0, 32, 3), 0.17692017555236816, 'SF:', 275, 'SB:', 225]
[(0, 32, 4), 1.0763578414916992, 'SF:', 1473, 'SB:', 1423]
[(0, 32, 5), 0.27232933044433594, 'SF:', 336, 'SB:', 286]
[(0, 32, 6), 0.08166718482971191, 'SF:', 147, 'SB:', 97]
[(0, 32, 7), 0.24405717849731445, 'SF:', 344, 'SB:', 294]
[(0, 32, 8), 0.6533796787261963, 'SF:', 848, 'SB:', 798]
[(0, 32, 9), 0.6480882167816162, 'SF:', 898, 'SB:', 848]
[(0, 31, 0), 0.060961008071899414, 'SF:', 117, 'SB:', 66]
